date,renewal_energy_produced,renewal_energy_purchased,electric_energy_purchased
Jan-2012,0.00,NaN,300765.00
Feb-2012,0.00,NaN,331997.00
Mar-2012,0.00,NaN,243861.00
Apr-2012,0.00,NaN,233076.00
May-2012,0.00,NaN,229953.00
Jun-2012,0.00,NaN,335129.00
Jul-2012,0.00,NaN,220601.00
Aug-2012,0.00,NaN,218732.00
Sep-2012,0.00,NaN,126502.00
Oct-2012,0.00,NaN,220053.00
Nov-2012,0.00,NaN,234779.00
Dec-2012,0.00,NaN,269357.00
Jan-2013,0.00,NaN,247893.00
Feb-2013,0.00,NaN,272912.00
Mar-2013,0.00,NaN,251669.00
Apr-2013,0.00,NaN,241598.00
May-2013,0.00,NaN,201960.00
Jun-2013,0.00,NaN,221500.00
Jul-2013,0.00,NaN,234999.00
Aug-2013,0.00,NaN,225309.00
Sep-2013,0.00,NaN,238109.00
Oct-2013,0.00,NaN,239644.00
Nov-2013,0.00,NaN,241348.00
Dec-2013,0.00,NaN,289713.00
Jan-2014,0.00,NaN,253274.00
Feb-2014,0.00,NaN,320890.00
Mar-2014,0.00,NaN,235484.00
Apr-2014,0.00,NaN,255773.00
May-2014,0.00,NaN,214687.00
Jun-2014,0.00,NaN,229895.00
Jul-2014,0.00,NaN,229809.00
Aug-2014,0.00,NaN,244939.00
Sep-2014,0.00,NaN,250526.00
Oct-2014,0.00,NaN,238472.00
Nov-2014,0.00,NaN,259629.00
Dec-2014,0.00,NaN,289489.00
Jan-2015,0.00,NaN,283729.00
Feb-2015,0.00,NaN,353885.00
Mar-2015,0.00,NaN,239919.00
Apr-2015,0.00,NaN,271068.00
May-2015,0.00,NaN,238101.00
Jun-2015,0.00,NaN,241901.00
Jul-2015,0.00,NaN,245583.00
Aug-2015,0.00,NaN,248279.00
Sep-2015,0.00,NaN,250438.00
Oct-2015,0.00,NaN,233577.00
Nov-2015,0.00,NaN,256909.00
Dec-2015,0.00,NaN,279529.00
Jan-2016,0.00,NaN,269611.00
Feb-2016,0.00,NaN,325099.00
Mar-2016,0.00,NaN,307504.00
Apr-2016,0.00,NaN,280319.00
May-2016,0.00,NaN,257933.00
Jun-2016,0.00,NaN,246053.00
Jul-2016,0.00,NaN,237230.00
Aug-2016,0.00,NaN,251141.00
Sep-2016,0.00,NaN,261978.00
Oct-2016,0.00,NaN,232815.00
Nov-2016,0.00,NaN,264461.00
Dec-2016,0.00,NaN,269788.00
Jan-2017,0.00,119894.04,291713.00
Feb-2017,0.00,149269.57,318272.00
Mar-2017,0.00,115396.85,241416.00
Apr-2017,0.00,115035.81,254504.00
May-2017,0.00,42679.28,135061.00
Jun-2017,0.00,93874.77,350279.00
Jul-2017,0.00,63930.88,245888.00
Aug-2017,0.00,61999.08,238458.00
Sep-2017,0.00,62674.56,241056.00
Oct-2017,0.00,59695.48,229598.00
Nov-2017,0.00,63895.00,245750.00
Dec-2017,0.00,102017.50,392375.00
Jan-2018,0.00,166571.74,300997.00
Feb-2018,0.00,185375.17,334975.00
Mar-2018,0.00,151485.50,273736.00
Apr-2018,0.00,152426.84,275437.00
May-2018,0.00,120097.76,217018.00
Jun-2018,0.00,126248.25,228132.00
Jul-2018,0.00,128916.74,232954.00
Aug-2018,0.00,132039.58,238597.00
Sep-2018,0.00,127610.72,230594.00
Oct-2018,0.00,134685.94,243379.00
Nov-2018,0.00,141328.95,255383.00
Dec-2018,0.00,152139.62,274918.00
Jan-2019,0.00,195371.23,353038.00
Feb-2019,0.00,152422.96,275430.00
Mar-2019,0.00,133375.49,241011.00
Apr-2019,0.00,56349.26,104023.00
May-2019,0.00,133935.33,247250.00
Jun-2019,0.00,119315.70,220955.00
Jul-2019,0.00,123383.52,228488.00
Aug-2019,0.00,126427.50,234125.00
Sep-2019,0.00,127122.48,235412.00
Oct-2019,0.00,111978.00,223956.00
Nov-2019,0.00,123693.00,247386.00
Dec-2019,0.00,133784.50,267569.00
Jan-2020,0.00,148644.14,256283.00
Feb-2020,0.00,163394.12,281714.00
Mar-2020,0.00,120024.04,206938.00
Apr-2020,0.00,123998.76,199998.00
May-2020,0.00,110794.62,178701.00
Jun-2020,0.00,101404.72,163556.00
Jul-2020,0.00,115334.05,177437.00
Aug-2020,0.00,117477.75,180735.00
Sep-2020,33478.00,115122.15,177111.00
Oct-2020,26076.13,103138.49,174811.00
Nov-2020,17280.63,139307.26,236114.00
Dec-2020,14990.00,144574.78,245042.00