date,urban_solid_waste
01-2016,2120
02-2016,7940
03-2016,7360
04-2016,8800
05-2016,7180
06-2016,7980
07-2016,7060
08-2016,6360
09-2016,10780
10-2016,6340
11-2016,6300
12-2016,7060
01-2017,6340
02-2017,6720
03-2017,8160
04-2017,5820
05-2017,7940
06-2017,8760
07-2017,5940
08-2017,4560
09-2017,8740
10-2017,6560
11-2017,7220
12-2017,5620
01-2018,7300
02-2018,8660
03-2018,10560
04-2018,6320
05-2018,5480
06-2018,8260
07-2018,6440
08-2018,5480
09-2018,7760
10-2018,7080
11-2018,11200
12-2018,8340
01-2019,8140
02-2019,10100
03-2019,9460
04-2019,4720
05-2019,9700
06-2019,7080
07-2019,7740
08-2019,8500
09-2019,8740
10-2019,7960
11-2019,7460
12-2019,11560
01-2020,8600
02-2020,7240
03-2020,9280
04-2020,5700
05-2020,7140
06-2020,5980
07-2020,7460
08-2020,7460
09-2020,7780
10-2020,9520
11-2020,7520
12-2020,6800