date,water_well_1,water_well_3,water_well_4
01-2012,2577,5655,460
02-2012,2538,5526,430
03-2012,2863,5775,526
04-2012,2677,3889,454
05-2012,897,5622,440
06-2012,632,6658,470
07-2012,1194,5875,240
08-2012,1473,8203,0
09-2012,1278,8354,0
10-2012,902,8538,0
11-2012,824,4307,0
12-2012,671,4126,0
01-2013,912,5233,0
02-2013,773,5445,0
03-2013,855,6914,0
04-2013,850,6783,500
05-2013,770,8898,520
06-2013,771,10467,620
07-2013,1120,8233,486
08-2013,1178,7060,494
09-2013,1150,5104,410
10-2013,1533,6019,480
11-2013,1311,5488,210
12-2013,2667,6466,0
01-2014,1822,4734,0
02-2014,1522,4047,0
03-2014,1745,5081,0
04-2014,1447,4606,540
05-2014,1519,5121,60
06-2014,1372,5796,0
07-2014,1523,11613,0
08-2014,1622,5670,1020
09-2014,1633,6225,1291
10-2014,2025,7617,490
11-2014,1878,8863,600
12-2014,1718,5124,548
01-2015,1990,5173,652
02-2015,1418,5417,270
03-2015,1682,6319,390
04-2015,1758,6170,660
05-2015,2181,5608,500
06-2015,1618,7326,1073
07-2015,1762,8183,1137
08-2015,1816,7204,450
09-2015,1553,6808,710
10-2015,1332,6369,580
11-2015,1130,5545,550
12-2015,1287,6723,610
01-2016,1124,6909,660
02-2016,1099,4962,2920
03-2016,1009,6618,2980
04-2016,1083,4965,2190
05-2016,1128,5720,2960
06-2016,1296,7039,1090
07-2016,1936,7696,530
08-2016,2211,7243,368
09-2016,2374,7654,678
10-2016,1688,5736,504
11-2016,2110,6411,665
12-2016,2349,6386,761
01-2017,2332,3443,2934
02-2017,2162,2627,3499
03-2017,2891,4036,2921
04-2017,3384,7201,1090
05-2017,3321,6375,540
06-2017,950,8431,400
07-2017,881,7150,372
08-2017,870,6482,338
09-2017,1458,9518,365
10-2017,2521,8688,414
11-2017,2612,5601,336
12-2017,2851,4372,361
01-2018,2615,4764,434
02-2018,2224,3602,400
03-2018,1107,3045,676
04-2018,455,2705,1534
05-2018,355,2966,1319
06-2018,386,2888,458
07-2018,368,2950,353
08-2018,423,6435,291
09-2018,346,4370,119
10-2018,329,5848,0
11-2018,462,4781,0
12-2018,616,3131,0
01-2019,733,3140,0
02-2019,656,4149,0
03-2019,457,5128,0
04-2019,416,4333,0
05-2019,413,6515,0
06-2019,528,5025,0
07-2019,562,4768,170
08-2019,497,496,3174
09-2019,462,4398,2192
10-2019,432,5785,74
11-2019,417,5777,0
12-2019,434,6026,0
01-2020,469,2311,3607
02-2020,416,216,5323
03-2020,429,1624,4100
04-2020,275,5711,0
05-2020,303,5508,10
06-2020,331,6509,30
07-2020,539,4878,470
08-2020,703,0,4885
09-2020,811,0,5005
10-2020,1781,5056,1800
11-2020,1405,4965,190
12-2020,1781,6323,100